Symbol	Type	Valence	Arousal	Dominance
accord	word	6.38	2.85	5.64
accordion	word	5.26	2.94	5.21
account	word	5.39	3.76	5.06
accountability	word	4.89	3.7	6.55
accountable	word	5.7	4.2	5.57
accountant	word	5.19	3.81	5.72
accounting	word	4.42	3.68	4.48
accumulate	word	6.33	2.73	6.15
accuracy	word	6.32	3.33	6.74
accurate	word	7.42	4.35	6.47
accursed	word	3.21	5.33	4.13
accusation	word	3.38	5.48	3.62
accuse	word	2.68	5.32	4
ace	word	6.37	4.64	6.61
acetylene	word	4.11	3.67	4.7
ache	word	3.27	4.3	4
achieve	word	7.75	4.7	6.61
achievement	word	7.28	5.57	7.17
achy	word	3.15	4.48	4.62
acid	word	3.26	4.77	4.26
acknowledge	word	6.43	3.26	6.11
acknowledgement	word	6.53	3.3	6.71
acne	word	2.18	4.47	3.44
acorn	word	5.85	4.42	4.77
acoustic	word	7.1	4	5.79
acoustics	word	6.33	3.19	5.86
acquaintance	word	5.58	3.24	5.29
acquire	word	5.5	4.86	7
acquisition	word	5	4.36	5.93
acquit	word	5.6	4.56	5.45
acquittal	word	6.19	4.95	5.03
acre	word	5.53	2.73	4.94
acreage	word	5.25	3.74	5.52
acrobat	word	6	4.9	5.42
acrylic	word	5.52	3.73	5.42
act	word	5.64	4.19	6.11
action	word	6	6.19	6.17
action figure	word	6.18	4.65	6.71
activate	word	5.7	3.78	6.28
activation	word	6.14	3.52	6.88
active	word	6.47	5.62	6.32
activist	word	6.24	5.26	5.86
activity	word	6.21	4.86	6.45
actor	word	6.15	4.35	5.64
actress	word	5.42	5.43	4.65
actual	word	6.22	2.75	5.54
actuality	word	5.4	5.55	5.24
acupuncture	word	4.81	4.9	4.77
acute	word	5.1	5.09	5.11
ad	word	4.11	3.33	5.18
adage	word	5.55	3.38	5.13
adamant	word	5.45	5.74	6.38
adapt	word	5.84	3.9	5.75
adaptation	word	5.82	3.55	6.04
add	word	6.23	4	6.79
adder	word	4.45	3.24	4.41
addict	word	2.86	5.33	2.74
addicted	word	2.89	4.77	2.84
addiction	word	3.52	4.48	3.84
addictive	word	3.52	4.82	4.4
additional	word	6.15	3.61	4.95
address	word	6.11	3.05	4.89
adept	word	6.14	4.17	6.5
adequate	word	4.7	3.64	6.89
adhere	word	5.17	3.52	3.9
adhesive	word	5.84	3.2	4.88
Adidas	word	5.77	4.18	6.3
adjacent	word	5.15	2.78	4.27
adjective	word	5.95	3.64	6.11
adjoining	word	5.06	3.52	4.65
adjourn	word	5.5	3.15	5.75
adjust	word	5.76	3	6
adjuster	word	4.25	3.5	5.84
adjustment	word	5.53	4.59	4.53
admin	word	4.37	3.64	5.83
administer	word	4.4	3.86	6.33
administration	word	4.45	3.23	4.77
administrative	word	4.79	3.21	5.9
administrator	word	5.32	4.74	5.48
admirable	word	7	4.57	5.81
admiral	word	4.8	4.05	5.68
admiralty	word	6.16	4.27	6.08
admiration	word	7.58	5.52	6.11
admire	word	7.35	5	7.33
admired	word	7.25	5.95	6.94
admirer	word	7.05	6	6.27
admissible	word	5.16	2.9	6.21
admission	word	5.91	3.69	5.54
admit	word	5.56	3.35	4.56
admittance	word	6.29	3.6	5.96
ado	word	4.82	3.33	4.48
adobe	word	5.25	3.89	5.55
adolescence	word	6	5.1	4.44
adolescent	word	5.38	4.2	4
adopt	word	6.9	4.71	5.45
adoption	word	6.68	4.82	5.62
adoptive	word	5.67	4.4	5.59
adorable	word	7.4	4.66	6.83
adoration	word	6.47	4.36	6.54
adore	word	7.37	5.96	6.26
adoring	word	7.38	4.86	6.29
adrenalin	word	6.33	5.05	4.85
adrenaline	word	6.61	5.95	5.72
adrift	word	4.36	3.19	4.09
adult	word	5.9	4.36	6.46
adulterer	word	2.77	5.68	3.2
adultery	word	2.81	6.42	3.33
adulthood	word	5.05	4.28	6.11
advance	word	6.11	4.62	6.12
advanced	word	6.14	3.83	6.96
advancement	word	7.47	5.81	6.38
advantage	word	6.71	3.95	7.19
advantageous	word	6.79	5.7	6.22
adventure	word	7.4	6.36	6.36
adventurer	word	7	5.27	5.83
adventurous	word	7.37	6.67	5.71
adversary	word	4.55	4.41	5
adverse	word	3.68	3.89	3.35
adversity	word	4.26	3.82	4.63
advertise	word	5.16	4.29	5.74
advertisement	word	4.3	4.14	5.84
advertising	word	4.68	3.25	5
advice	word	5.78	3.05	5.83
advisable	word	5.62	4.36	5.86
advise	word	5.44	3.38	6.41
advisement	word	4.55	4.04	5.92
adviser	word	5.68	3.36	6.18
advisor	word	4.74	3.19	5.7
advisory	word	4.95	4.05	4.19
advocate	word	5.25	4.59	7.26
aerial	word	6.04	3.67	5.17
aerobics	word	6	5.1	5.7
aerodynamic	word	6.16	4.33	5.1
aerospace	word	5.79	4.52	5.17
aesthetic	word	5.43	2.88	5.5
affair	word	3.1	5.4	5.89
affect	word	5.65	3.61	6.39
affection	word	7.89	5.64	6.6
affectionate	word	7.23	4.77	6.9
affidavit	word	4.38	3.73	4.04
affiliation	word	5.32	3.9	5.3
affinity	word	5.86	4.29	6.55
affirmation	word	5.95	3.95	6.53
affirmative	word	5.94	3.64	6.78
affliction	word	3.76	5.1	4.17
afford	word	6.56	4.33	6.44
affordable	word	7.52	4.11	6.16
affront	word	4.53	4.5	5.04
afire	word	6.05	5.41	4.38
afloat	word	5.57	4.13	4.96
aforementioned	word	5.21	3.5	4.96
afraid	word	2.25	5.12	2.71
african	word	6.42	4.11	5.8
afterlife	word	5.53	4.32	5.86
aftermath	word	4.29	5.38	4.23
afternoon	word	6.68	3.48	5.71
aftershave	word	5.55	3.5	5.81
age	word	5.78	3.71	4.67
agency	word	5.14	3.17	4.89
agenda	word	5.05	3.62	5.36
agent	word	5.23	3.43	5.65
aggravate	word	2.55	5.9	4.85
aggravation	word	2.48	5.35	4.45
aggression	word	3.18	5.69	4.65
aggressive	word	3.08	5.87	5.49
aggressiveness	word	3.58	6.43	5.21
aggressor	word	2.8	6.55	4.57
agile	word	5.95	4.95	6.09
agility	word	6.55	4.21	6.41
aging	word	3	3.8	3.06
agitate	word	3.36	5.82	4.55
agitation	word	2.84	4.75	3.29
aglow	word	5.84	4.83	5.59
agonizing	word	2.68	6.71	4.04
agony	word	2.46	5.78	4
agree	word	7.17	3.62	6.94
agreeable	word	6.9	3.55	6.97
agreement	word	6.75	4.05	6.48
agricultural	word	5.5	3.55	5.74
agriculture	word	6.1	3.05	6
ahoy	word	5.58	3.95	5.45
aid	word	6.29	4.55	5.95
aide	word	5.6	4	7.05
ailing	word	2.95	4.52	4.15
ailment	word	3	3.68	3.14
aim	word	5.95	4	6.5
air	word	6.71	3.25	5.72
airbag	word	5.4	3.64	4.81
airborne	word	5.25	3.52	4.48
aircraft	word	6.3	4.86	5.71
aircraft carrier	word	5.25	4.64	5.85
airfield	word	5.74	4.38	4.82
airhead	word	4.1	4.3	4.19
airline	word	5.36	4.12	4.92
airliner	word	6.05	4	4.25
airlock	word	4.85	4.23	5
airplane	word	5.25	5.62	4.12
airport	word	6	5.5	5.79
airship	word	5.63	4.88	4.43
airspace	word	5.5	4.4	4.91
airspeed	word	4.95	4.33	5.24
airstrip	word	4.76	3.83	5.1
airtight	word	5.1	3.3	4.76
airway	word	4.95	4	3.95
aisle	word	5.17	2.5	4.87
ajar	word	5	3.26	5.28
aka	word	4.63	3.39	4.4
alabaster	word	5.5	3.95	5.35
alarm	word	3.86	6.85	6.58
alarm clock	word	3.47	5.36	4.82
alarming	word	3.52	6.5	4.05
albatross	word	5.68	3.09	4.91
albino	word	4.9	3.09	4.05
album	word	6.19	5.63	5.86
alcohol	word	4.11	5.17	4
alcoholic	word	2.49	5.48	3.27
alcoholism	word	2	5	3
alcove	word	5.5	3.32	5.33
alderman	word	4.44	3.05	5.04
ale	word	5.95	4.1	5.17
alert	word	5.38	5.14	6.58
alfalfa	word	4.79	3.67	5.73
algebra	word	5.4	4.6	4.54
algorithm	word	5.3	3.7	4.04
alias	word	5	4.71	5.94
alibi	word	4.16	4.5	5.17
alien	word	4.45	4.86	3.56
alienate	word	2.79	4.27	3.71
alienation	word	2.53	5.14	3.33
alight	word	5.67	3.86	5.88
align	word	5.95	3.32	5.95
alignment	word	6	3.92	6.32
alimony	word	3.86	3.09	4.32
alive	word	6.57	5.93	6.77
allegation	word	3.26	5.9	3.96
alleged	word	3.62	5.09	4.27
allegiance	word	5.8	5.17	7.05
allegro	word	5	3.89	5.36
allergic	word	3	5.4	3.81
allergy	word	2.9	3.9	3.5
alleviate	word	6.25	3.45	5.84
alley	word	4.17	4.08	4.63
alleyway	word	3.46	3.7	5.2
alliance	word	6.14	4.4	5.78
allied	word	5.95	3.38	5.4
alligator	word	4.23	5.36	4.1
allow	word	6.39	2.95	6.11
allowance	word	6.74	4.05	5.7
alloy	word	5.2	3.32	5.9
allure	word	6.9	4.25	5.77
alluring	word	6.74	4.35	5.86
ally	word	6.05	4.8	6.84
almanac	word	5.55	3.24	5.88
almighty	word	6.15	4.59	5.81
almond	word	6.05	2.89	6.46
aloha	word	7.1	3.82	6.33
alone	word	3.85	4	4.5
aloof	word	4.59	3.09	4.63
alpha	word	5.5	3.67	6.32
alphabet	word	5.95	3.15	5.79
alphabetical	word	6.32	3	6.14
alpine	word	5.84	3.52	5.74
altar	word	5.59	4.05	5.68
altar boy	word	4.76	3.11	4.62
alter	word	4.57	4.17	5.57
alteration	word	5.05	4.05	6.15
altercation	word	3.61	5.62	4.4
alternate	word	5.15	3.48	5.2
alternating	word	5.37	4.27	5.53
alternative	word	5.33	3.61	6.33
altimeter	word	4.5	3.61	5
altitude	word	5.27	4.15	5.46
aluminum	word	5.1	4.05	6
alumnus	word	4.95	3.23	6.1
alzheimers	word	2.26	4.5	2
amaretto	word	6	4.04	5.19
amateur	word	4.58	3.55	5.25
amaze	word	7.24	5	5.83
amazed	word	7.55	5.95	6.11
amazement	word	7.29	6.3	6.43
amazing	word	7.72	6.05	6.83
ambassador	word	5.5	3.91	6.2
amber	word	6.15	3.36	6.21
ambience	word	6.35	3.85	5.57
ambient	word	6.33	3.2	4.86
ambiguous	word	5.16	4	5.12
ambition	word	7.28	4.86	6.36
ambitious	word	6.33	5.76	5.88
ambrosia	word	5.95	4.05	5.67
ambulance	word	3.71	5.33	3.29
ambush	word	3.17	5.58	3.96
amend	word	5.85	3.06	4.96
amendment	word	5.6	3.5	4.77
amends	word	6.68	3.95	5.96
amiable	word	6.7	2.85	6.14
amino	word	4.45	3.83	5.73
ammo	word	4.18	5.53	5.52
ammonia	word	3.74	3	3.83
ammonium	word	4.06	4.37	4.84
ammunition	word	4.59	5.7	5.95
amnesia	word	3.43	5.04	3.08
amnesty	word	5.38	3.86	6
amorous	word	5.95	4.21	6
amount	word	5.42	3.53	5.39
amour	word	6.43	5.43	5.91
amp	word	5.79	5.05	5.13
amphibian	word	5.4	3.35	5.42
amphibious	word	5.75	5.7	4.85
ample	word	5.89	3.28	6.04
amputate	word	2.1	5.43	3
amputation	word	1.84	4.86	2.85
amuck	word	4	4.41	3.74
amulet	word	5.75	3.95	5.79
amuse	word	7.1	5.17	6.8
amused	word	7.05	4.27	5.93
amusement	word	7	4.82	6.59
amusing	word	7.6	5.18	6.79
anaconda	word	4.43	6	4.08
anagram	word	4.37	3.86	4.83
anal	word	4	4.29	4.45
analogy	word	5.24	3.95	5.33
analysis	word	5.25	3.74	5.95
analyst	word	5	3.24	4.76
analytical	word	6	4.13	6.43
analyze	word	5.65	4.1	5.96
analyzer	word	4.62	3.48	5.88
anaphylactic	word	4	5.57	4.17
anarchist	word	2.76	4.16	4.57
anarchy	word	3.68	4.86	3.1
anatomy	word	6.29	4.43	5.95
ancestor	word	6.37	3.73	4.81
ancestral	word	6.6	3.6	5.05
ancestry	word	6.29	3.71	4.16
anchor	word	5.16	3.32	5.29
anchorage	word	5.09	3.82	5.8
ancient	word	7.24	3.48	4.86
android	word	5.62	3.5	5.75
anecdote	word	5.62	4.65	6
anemia	word	3.05	4.09	3.55
anemic	word	3.45	3.45	3.14
anesthesia	word	4.84	3.64	2.95
anesthesiologist	word	4.95	3.56	3.68
anesthetic	word	5.48	3.23	4.72
aneurysm	word	2.5	5.38	2.7
angel	word	7.71	4.24	5.9
angelic	word	6.68	4.27	6.32
anger	word	2.5	5.93	5.14
angina	word	2.85	4.72	4
angiogram	word	4.19	3.61	4.28
angle	word	4.55	3.22	5.27
angora	word	5.63	2.95	5
angry	word	2.53	6.2	4.11
angst	word	3.5	5.76	3.62
anguish	word	3.14	5.41	4.27
anguished	word	2.78	4.79	2.88
animal	word	7.06	4.3	5.72
animated	word	6.65	5.77	6.71
animation	word	6.42	5.52	5.16
animosity	word	3.4	5.83	5.04
ankle	word	5.4	3.11	5.58
anklet	word	4.75	3.57	5.08
annals	word	4.8	2.6	4.95
annex	word	4.41	4	5.26
annihilate	word	3.15	6.44	4.62
annihilation	word	2.58	5.52	3.2
anniversary	word	6.95	4	6.86
announce	word	5.52	3.65	5.48
announcement	word	5.81	4.3	5.05
announcer	word	5.84	4.5	4.07
annoy	word	2.49	5.04	4.64
annoyance	word	2.95	4.1	3.45
annoyed	word	2.8	5.29	4.08
annoying	word	3	5.55	3.28
annual	word	5.19	3.7	4.9
annul	word	3.83	4.23	4.9
annulment	word	4.05	4.14	4.15
anointed	word	4.79	3.32	5.18
anomaly	word	4.84	4.25	4.26
anonymity	word	4.81	3.29	5.88
anonymous	word	5.75	4.13	5.48
anorexic	word	2.71	4.24	3.43
answer	word	6.1	4	5.95
ant	word	3.9	3.27	5.3
antagonistic	word	4.32	4.11	4.41
antagonize	word	3.15	4.95	4
antelope	word	5.68	4.46	5.57
antenna	word	5.43	3.15	5.67
anterior	word	4.89	3.36	4.64
anthem	word	5.95	4.48	6.29
anthill	word	4.32	4.63	4.76
anthrax	word	2.32	4.72	2.71
anthropological	word	5.53	3.82	5.14
anthropologist	word	5.7	3.27	5.19
anthropology	word	5.3	2.91	6
anti	word	4.47	4.23	5.05
antiaircraft	word	4.85	4.6	4.73
antibiotic	word	5.88	4.05	5.72
antibiotics	word	5.05	4.05	5.11
antichrist	word	2.36	5.58	4.39
anticipate	word	6	5.7	5.36
anticipation	word	5.26	5.39	5.53
antics	word	3.95	5.1	5.24
antidote	word	6.55	3.24	6.08
antigravity	word	5.74	5.1	3.77
antiquated	word	5	4.95	4.69
antique	word	6.5	4	5.79
antiques	word	6.63	3.68	5.17
antiseptic	word	4.57	3.15	4.77
antisocial	word	3.21	5.32	5.33
antsy	word	4.36	5.23	3.85
anus	word	2.9	4.39	4.96
anvil	word	5.05	4.4	5.38
anxiety	word	2.38	4.78	3.39
anxious	word	3.8	6.2	4.15
anytime	word	5.81	4.6	5.32
aorta	word	4.35	3.64	4.37
aortic	word	4.25	3.5	4.58
apache	word	5.2	3.7	4.95
apartment	word	5.72	3.8	5.33
apartments	word	5	3.28	5.18
apathy	word	3.68	3.8	5.15
ape	word	5.21	4.25	5.38
apex	word	5.52	3.48	5.17
aphrodisiac	word	6.43	5.96	5.04
apocalypse	word	3.24	5.04	2.65
apologetic	word	6.65	4	5
apologize	word	4.94	3.52	4.22
apology	word	6.24	4	5.1
apostle	word	5.5	4.38	4.71
apothecary	word	5.48	4.23	5.35
appalled	word	3.62	4.91	4.11
appalling	word	2.95	5.5	4.55
apparatus	word	5.5	4	5.14
apparel	word	5.38	4.3	6.19
apparent	word	4.96	3.19	6.4
apparition	word	4.85	4.82	4.38
appeal	word	6.3	3.57	5.36
appear	word	5.25	3.24	5.36
appearance	word	6.14	4.57	5.9
appease	word	5.95	3.55	5.59
appendage	word	4.23	4.35	5.32
appendectomy	word	2.95	6.14	3.59
appendicitis	word	1.86	5.12	2.71
appendix	word	4.81	2.92	4.25
appetite	word	6.23	5.37	5.57
appetizer	word	7.29	4.52	6.36
appetizing	word	7	4.82	6.18
applaud	word	6.7	5.05	5.91
applause	word	7.12	5.38	6.56
apple	word	6.62	3.52	6.44
apple juice	word	7.3	3.2	6
applejack	word	5.79	3.8	5.74
applesauce	word	6.9	2.78	6.39
appliance	word	5.15	2.84	5
applicant	word	4.91	3.96	5.08
application	word	5.05	4.52	4.3
apply	word	5.16	3.24	6.2
appoint	word	5.95	4.25	5.65
appointment	word	4.43	4.8	6.68
appraisal	word	5.09	4.09	5.65
appreciate	word	7.33	3.1	7
appreciation	word	7.3	4.68	6.63
appreciative	word	7.14	4.35	6.9
apprehend	word	4.14	5.13	4.48
apprehension	word	4.15	4.23	5.07
apprehensive	word	3.32	4.77	4.64
apprentice	word	5.95	3.59	5.05
approach	word	5.45	4.48	6.03
appropriate	word	6.1	4.04	5
approval	word	6.75	3.52	6.63
approve	word	7	4.09	7.26
approximate	word	5.26	3.82	4.95
apricot	word	5.95	4.29	5.94
apron	word	5.8	2.9	5.28
apt	word	5.64	4.05	5.95
aptitude	word	5.95	4.55	5.45
aqua	word	6.5	3.6	4.82
aquamarine	word	6.4	3.9	4.95
aquarium	word	6.43	4.3	6.14
aquatic	word	6.8	3.58	4.53
arbitrary	word	4.15	4.55	4.77
arbitration	word	4.09	4.41	4.19
arcade	word	6.45	6.1	6.81
arcane	word	5.25	3.61	5.55
arch	word	5.8	3.15	5.45
archaeological	word	6.05	4.52	5.18
archaeologist	word	5.42	4.14	5.17
archaeology	word	6.1	3.86	5.26
archaic	word	4.5	4.38	4.62
archangel	word	7.27	4.19	4.79
archbishop	word	4.71	3.78	4.73
archdiocese	word	3.95	3.41	4.04
archduke	word	4.15	3.56	5.73
archery	word	5.25	4.39	5.73
architect	word	6.21	3.25	6.05
architectural	word	6.32	4.05	5.18
architecture	word	6.05	4.39	5.67
archive	word	4.81	4.18	5.24
arctic	word	4.45	3.88	5
ardent	word	4.95	4.62	5.32
area	word	5.56	2.19	5.06
arena	word	5.75	4.23	6.04
argue	word	3.15	6.67	4.77
argument	word	2.62	5.22	5.65
argumentative	word	3.2	5.61	4
arise	word	6.17	4.76	5.87
aristocracy	word	5.21	4.15	5.08
aristocrat	word	4.28	3.6	4.94
aristocratic	word	5.79	3.18	4.43
arithmetic	word	4.95	4	5.54
ark	word	6.15	3.52	5.88
arm	word	5.44	3.44	6.02
armada	word	4.6	3.29	5.6
armament	word	5.05	4.65	5.37
armchair	word	5.67	2.75	5.79
armed	word	4.11	6.3	5.68
armor	word	6.1	3.29	6.3
armored	word	5.67	3.52	5.7
armory	word	5.25	4.48	5.74
armpit	word	4.1	3.57	5.24
army	word	4.65	4.49	4.65
aroma	word	7.65	4.35	6.06
arouse	word	6.67	6.21	6.1
aroused	word	5.95	7.3	5.58
arraignment	word	3.91	4.6	5.33
arrange	word	5.15	3.57	6.71
arrangement	word	5.71	3	5.5
array	word	5.9	3.71	5.62
arrest	word	2.33	6.86	3.11
arrhythmia	word	3.86	4.95	4.25
arrival	word	6.67	3.6	6.53
arrive	word	6.41	5	6.84
arrogance	word	2.55	4.65	5
arrogant	word	2.52	5.15	4.64
arrow	word	5.24	3.91	5.53
arsenal	word	4.45	5.48	5.25
arsenic	word	3	4.7	3.46
arson	word	2.26	5.41	3.78
arsonist	word	2.5	6.95	3.42
art	word	6.85	4.48	6.02
arterial	word	3.95	3.39	4.12
artery	word	4.29	4.09	4.78
arthritis	word	2.32	4.27	2.63
artichoke	word	5.3	3.5	5.48
article	word	5.68	3.5	5.68
articulate	word	6.55	4.27	6.89
artifact	word	6.2	4.95	5.73
artificial	word	3.86	4.17	4.55
artillery	word	4.1	4.56	4.64
artist	word	6.76	4.1	6.95
artiste	word	6.33	3	5.35
artistic	word	7	5	6.86
artistry	word	6.91	4.71	7.43
artwork	word	6.76	4.18	6.33
arty	word	6.55	5.53	5.48
asbestos	word	2.24	4.38	3.05
ascend	word	6.19	4.13	5.58
ascendant	word	5.29	3.23	5.78
ascending	word	5.14	3.73	5.55
ascension	word	5.77	5.36	5.45
ascertain	word	5.3	3.17	6.29
ashamed	word	2.52	5.65	4.63
ashtray	word	3.52	3.48	5.56
asinine	word	5.05	4.63	4.81
ask	word	5.95	3.48	6.29
asleep	word	6.5	2	4.33
asparagus	word	5.43	2.73	5.67
aspect	word	4.89	3.39	4.76
aspen	word	6.57	4.11	5.5
asphalt	word	4.46	3.2	4.62
asphyxia	word	2.19	6.14	2.4
asphyxiation	word	1.53	6.91	2.54
aspiration	word	6.26	5	5.94
aspire	word	6.43	3.68	6.85
aspirin	word	5.3	3.35	5.12
aspiring	word	6.89	4.41	6.85
ass	word	5.45	5.43	3.61
assailant	word	3.24	5.7	3
assassin	word	2.11	5.82	3.36
assassinate	word	3.27	6.38	3.23
assassination	word	1.83	6.2	4
assault	word	2.05	6.8	3.49
assemble	word	5.14	3.52	6.28
assembly	word	5.47	3.95	4.82
assemblyman	word	5	3.12	5.21
assert	word	5.68	4.64	5.93
assertive	word	5.37	5.55	6.04
assess	word	5.84	3.45	5.21
assessment	word	5.22	2.75	5.44
asset	word	7.25	4.43	6
asshole	word	2.11	6.38	2.89
assign	word	4.75	3.71	5.74
assignment	word	5.39	4.45	6
assimilate	word	4.63	4.15	5.15
assist	word	5.95	3.76	6.41
assistance	word	5.82	3.82	6.45
assistant	word	5.91	4.8	6.37
associate	word	5.2	3.11	4.88
association	word	5.5	3.67	6.14
assorted	word	5.82	3.52	5.41
assortment	word	5.64	3.88	5.79
assume	word	4.41	4.2	6.21
assumption	word	4.3	4.14	5.03
assurance	word	5.95	2.81	6.07
assure	word	6.33	3.1	6.52
asterisk	word	5.38	2.78	5.72
asteroid	word	4.95	5.6	3.68
asthma	word	2.45	4.5	3.54
asthmatic	word	3.33	3.38	3.84
astonish	word	5.55	5.38	6
astonished	word	6.42	5.73	4.87
astonishing	word	6.53	5.77	5.23
astound	word	6.3	5.05	5.56
astral	word	5.32	5.13	5.26
astrology	word	4.79	4.18	4.67
astronaut	word	6.73	4.4	5.32
astronomer	word	5.59	5.42	5.33
astronomical	word	6.37	5	5.14
astronomy	word	6	4.33	5.21
astute	word	6.22	3.16	6
asylum	word	3.24	5.55	3.52
atheist	word	4.64	4.76	5.41
athlete	word	6.21	4.75	5.96
athletic	word	6.76	5	6.11
athletics	word	6.14	4.93	6.15
atlas	word	5.95	2.5	5.7
atmosphere	word	6.05	4	4.86
atmospheric	word	5.72	4.09	5.11
atoll	word	5.14	3.55	4.7
atom	word	5.74	4.29	5.39
atomic	word	4.26	5.85	3.96
atone	word	5.6	4	5.65
atrium	word	5.95	3.57	5.22
atrocious	word	3.14	4.12	4.35
atrocity	word	2.95	5	2.96
atrophy	word	3.16	3.86	4
attach	word	5.26	3.81	4.7
attachment	word	6	2.96	6.32
attack	word	2	7.05	3.39
attacker	word	2.23	7.27	4.26
attain	word	5.85	3.11	7.08
attempt	word	6	4.94	5.67
attempted	word	5.35	3.64	6.52
attend	word	5.4	3.5	6.7
attendance	word	5.95	4.24	5.59
attendant	word	5.63	3.14	5.09
attention	word	6.68	4.05	6.47
attentive	word	6.43	4.37	6.62
attest	word	5.1	3.68	6.26
attic	word	4.95	3.45	5.36
attire	word	6.16	3.95	5.78
attitude	word	4.72	4.76	5.88
attorney	word	3.67	4.8	5.53
attract	word	6.38	5.35	5.6
attraction	word	7	5.4	4.62
attractive	word	7.19	4.91	6.81
attribute	word	5.67	4.12	6
auburn	word	5.89	3.62	5.61
auction	word	5.43	4.5	5.33
auctioneer	word	5.09	4	5.37
audacious	word	5.11	4.28	5.41
audacity	word	5.2	4.1	5.33
audible	word	6.05	4.45	6.26
audience	word	5.89	4.91	5.14
audio	word	6.56	4.29	5.96
audit	word	2.82	5.78	3.68
audition	word	5.2	4.24	6
auditor	word	3.26	3.7	5.2
auditorium	word	6.05	4.45	5.05
auditory	word	5.05	4.5	6.11
aunt	word	6.56	2.71	4.28
auntie	word	6.24	3.58	5.79
aura	word	6.45	4.7	5.65
auspicious	word	4.76	3.39	5.5
authentic	word	6.91	4.55	6.58
authenticate	word	5.1	4.36	5.78
authenticity	word	6.81	4.42	6.23
author	word	6.33	2.73	6.38
authority	word	4.76	5.35	5.19
authorization	word	5.86	4.32	4.77
authorize	word	5.37	4.67	6.54
autism	word	3.2	4.1	3.12
autistic	word	3.62	4.24	2.43
auto	word	5	4.95	5.7
autobiographical	word	4.82	3.74	5.89
autobiography	word	5.79	2.85	6.5
autograph	word	6.21	3.55	6.1
autographed	word	6.14	4.65	6.42
automated	word	4.74	4.05	4.5
automatic	word	6.05	3.7	5.27
automobile	word	5.45	3.91	6
automotive	word	5.37	4.5	5.38
autonomy	word	5.05	4.09	6.19
autopilot	word	5.65	4.11	3.72
autopsy	word	2.62	4.36	3.22
autumn	word	7.12	3.21	5.17
auxiliary	word	5.26	3.61	5.81
avail	word	5.42	3.77	6
availability	word	5.68	4.38	5.5
available	word	6.86	4.04	6.59
avalanche	word	4	6.55	3.24
avenge	word	4.05	6.35	5.92
avenging	word	4.89	6.1	6.55
avenue	word	5.74	3.3	5.18
average	word	4.89	3.29	5.59
aversion	word	4	5.14	4.81
avert	word	5.16	3.62	5.22
aviation	word	5.9	4.05	5.62
aviator	word	6.39	4.67	6.13
avid	word	5.74	4.32	5.71
avocado	word	6.32	4.05	5.22
avoid	word	4.1	3.92	4.81
avoidance	word	3.35	4.95	4.88
await	word	5.33	2.91	4.71
awake	word	6.76	5.5	6.68
awaken	word	6.05	4.29	6.09
